author,image,name,price
James Holler,"https://images-na.ssl-images-amazon.com/images/I/81aPkQX3GYL._AC_UL302_SR302,200_.jpg","Microsoft Office 365 for Beginners 2022: [8 in 1] The Most Updated All-in-One Guide from Beginner to Advanced | Including Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams and Access",$9.99
Matt Cybulsky,"https://images-na.ssl-images-amazon.com/images/I/71rBRU5rn2L._AC_UL302_SR302,200_.jpg",Voices of Healthcare: The Digital Acceleration,$4.99
Nigel Tillery,"https://images-na.ssl-images-amazon.com/images/I/61AAqpeax-L._AC_UL302_SR302,200_.jpg","Excel 2022: The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",$9.99
Square Enix,"https://images-na.ssl-images-amazon.com/images/I/91CxkeHrO-L._AC_UL302_SR302,200_.jpg",Final Fantasy XIV: Endwalker -- The Art of Resurrection -Among the Stars-,$34.99
Thomas Kain,"https://images-na.ssl-images-amazon.com/images/I/81-U+x5HsqL._AC_UL302_SR302,200_.jpg",The Basics of Blockchain Explained: The New Revolutionary Technology That's Going to Change the World Forever,$13.08
James Bridle,"https://images-na.ssl-images-amazon.com/images/I/91FpTB73QJL._AC_UL302_SR302,200_.jpg","Ways of Being: Animals, Plants, Machines: The Search for a Planetary Intelligence",$22.32
Kelly Lee,"https://images-na.ssl-images-amazon.com/images/I/71mG3Ek1hZL._AC_UL302_SR302,200_.jpg","Social Media Marketing for Small Business 2022: 6 Books in 1: The Best Guide for Beginners to Master and Make Money with Youtube, Facebook, Tiktok, Google and SEO",$26.21
Simon Chan,"https://images-na.ssl-images-amazon.com/images/I/71wawlhNy1L._AC_UL302_SR302,200_.jpg",The Consistency Pill: The 7 Step System to Increase Sales and Transform Your Business,$13.08
Vannevar Bush,"https://images-na.ssl-images-amazon.com/images/I/81MayWqGA4L._AC_UL302_SR302,200_.jpg",Pieces of the Action,$24.00
Steven L. Brunton,"https://images-na.ssl-images-amazon.com/images/I/51l55yq9w4L._AC_UL302_SR302,200_.jpg","Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",$64.99
Daniel A. Roberts,"https://images-na.ssl-images-amazon.com/images/I/71WzAPykhHL._AC_UL302_SR302,200_.jpg",The Principles of Deep Learning Theory: An Effective Theory Approach to Understanding Neural Networks,$53.59
Shane Purdy,"https://images-na.ssl-images-amazon.com/images/I/819yB7SIF7L._AC_UL302_SR302,200_.jpg",The Change: A Livestreamed Dungeon Crawl LitRPG (The Rise of the Winter Wolf Book 2),$4.99
Joe Reis,"https://images-na.ssl-images-amazon.com/images/I/81YcQ+8LUPL._AC_UL302_SR302,200_.jpg",Fundamentals of Data Engineering: Plan and Build Robust Data Systems,$68.58
Studio BentStuff,"https://images-na.ssl-images-amazon.com/images/I/91j-b-HnP0L._AC_UL302_SR302,200_.jpg",Final Fantasy VII Remake: Material Ultimania Plus,$35.99
Peter P Farrel,"https://images-na.ssl-images-amazon.com/images/I/611uv3SvuLL._AC_UL302_SR302,200_.jpg",How to Cancel Kindle Unlimited Membership: A Step by Step Guide to Cancel Subscription in 30 Seconds,$2.99
