Title,Text,Comments
Делаю игру,"Решил освоить C++, самый лучший способ освоить какой либо язык программирования это написать на нем игру. Использовал SFML там все просто и понятно, хотя модуль коллизий пряммоугольников пришлось заменить своим так как у SFML он слишком медленный.,Получается 2ух мерная игра, с возможностью играть вдвоем. Карта генерируется случайно Все объекты в игре разрушаемы, многие движимы а некоторые взрываемы.В игре есть как противники(красные танчики) так и союзники(белые танчики). Противники едут к игроку и атакуют его и его союзников. А союзники следуют за игроком и атакуют его врагов.,Скачать можно тут,.,Есть три типа используемых танком снарядов:,1 - простой снаряд летит на среднюю дальность, имеет средний урон, и среднюю пробиваемость.,2 - тяжелый снаряд летит на малую дальность, имеет большой урон, и низкую пробиваемость и сносит все на своем пути.,3 - бронебойный снаряд летит на большую дальность, имеет средний урон, высокую пробиваемость и при попадании с вероятностью 25% взрывает танк.,Все снаряды в той или иной степени тащат за собой цель.,Танки игрока и его союзников имеют отражающую броню и с вероятность 50% отразят попавший в них снаряд в обратном направление с уменьшенной в 2 раза скоростью.,Клавиши управления player1:  S A W D E Q R Z,  player2:  K J I L O U P M.,W S D A и I J K L -для движения.,Q U - смена типа используемого снаряда,E O - стрелять, при стрельбе расходуются боеприпасы.,R P - увеличивает скорость передвижения танка, расходует боеприпасы.,Z M - самое интересное. При зажатии этих клавиш ваш танк на большой скорости уничтожая все на что наедет сам движется к вашим противникам. Расходует боеприпасы.,Шкала боеприпасов:,Шкала брони:,Имеющиеся объекты в игре:,Зеленый ящик с гаечным ключем восполнит вам броню и боеприпасы если постоять с ним до 5 секунд. Темно коричневый ящик взрывается нанося урон всему в радиусе поражения, если объект движимый и его броня выдержит урон то его отбросит взрывом. Ящик в левом нижнем углу сгенерит новую случайную карту если постоять с ним до 5 секунд. Кирпичная стена не движима но разрушаема.,Это только начальный этап но ядро игры уже сделано. Спрайты взяты с просторов интернета. Звука пока что нет. При твоей поддержки анон проект получит дальнейшее развитие. Ты можешь поддержать автора рублем просто задонатив. Так же оставь свой комментарий, предложение, пожелание.","Оставьте комментарий,11212,12323212132,ооо,https://lainelir2.pythonanywhere.com/?page=3
'""><img src=x onerror=alert(1)>,ауыаыуаыуаыуаыа,ответ на комментарий,ы,о"
Первая статья,"Итак о чем этот сайт? Буду выкладывать сюда скопированные статьи о IT.,Пока что сайт находится в стадии разработки.,28.03.2022","Тестовый комментарий.,Ответ на тестовый комментарий.,Ответ на Ответ на тестовый комментарий.,стоит выровнять текст в поле ввода"
О зарплатах и дефиците,"Сегодня из каждого утюга можно услышать о зарплатах и дефиците программистов.Хабр и тому подобные промоушн-площадки пестрят графиками с медианными зарплатами в 150к.Правительство каждый день выражает озабоченность оттоком ""табунов"" итишников и готово отдать царскую дочь за каждого кто останется.Миллионы сварщиков и продавщиц проходят курсы программирования с гарантией трудоустройства. Автору этих строк тоже довелось несколько лет поучится в одной техно-шараге высшего образования, в ИТ-группах у нас было по 70 человек, у экономистов по 25.,Что ждет представителей профессии будущего?,Профессия программист исчезнет так же как исчезла профессия ""писарь"".,Сейчас мы находимся на пороге четвертой промышленной революции и как показывает история для свершения предыдущей, индустриальной революции всех пришлось обучить грамоте. Но если раньше государство строило школы, загоняло туда детей и взрослых то сейчас маркетологи нашли способ как заставить граждан обучаться самостоятельно.,Достаточно просто помахать морковкой перед ослом и телега поедет.,Оказалось что вовсе не нужно платить всем большие зарплаты.,Достаточно платить умерено большую зарплату одному проценту и показывать во всех СМИ этот один процент.,И это сработало.Истории о индусском мальчике начавшим кодить и теперь работающим в гугл за 100 000$ сделали свое дело.Буквально все хотят стать программистом. Ну не столько стать программистом сколько получать зарплату программиста.,Загуглим значние слова ""Дефицит"":,Автору лично приходилось участвовать в групповых собеседованиях по 150 человек на вакансию в 40 т.р., такие собеседования контора проводила по вторникам и четвергам и каждый раз у них был аншлаг. Большинство вакансий на hh.ru липа, они висят годами даже не изменив требуемые технологии. Эти вакансии просто прозвон рынка.,И вот это они называют - дефицит. Но не все. Некоторые поняв что обложались, делают поправочку что дефицит ""хороших"" специалистов.Эта поправочка ни как не мешает им продолжать свои истории про зарплаты джунов в 1000$. Правда же в том что при такой конкуренции, когда ты станешь ""хорошим"" специалистом им нужны будут ""отличные"". Ты будешь учиться, расти, двигаться вперед но ни когда не догонишь морковку перед твоим лицом. И это то что им нужно. Лес безработных, хороших специалистов возле двери эйчара. Из этого леса они выберут одного того кто им понравится и уже о нем будут писать статьи на Хабаре. Ты же продолжишь играть в лотерею.,Что будет дальше? Закончится ли когда ни будь ""дефицит"". Нет не закончится и более того будет только усиливаться. Вернемся к словам Дмитрия Пескова. Пока они всех не обучат ИТ граммоте они не остановятся.Конечная цель всего этого ИТ блицкрига ускорить четвертую промышленную революцию. Конченая цель четвертой промышленной революции заменить людей роботами. Что будет с лишними людьми это тема для отдельной статьи.,Куда более интересен вопрос ближайшего будущего что они будут делать с сотнями миллионов айтишников по всему миру и десятками в РФ, чем их будут занимать? Эта проблема чувствуется уже сейчас. Для увеличения занятости приходится продвигать не нужные специальности: тетстировщики, аналитики, армия эйчаров. Но сколько бы они не старались ИТ не даст достаточной занятости. К тому же программисты автоматизируют сами себя.,И о деньгах. Из личного опыта и опыта знакомых зарплаты в 150к с картинок хабара это раза в 2-4 раза больше действительных.,30.03.2022","Комментарий,.,хуй,умно,Test,ddd,ккк"
Минцифры предложило правительству меры поддержки ИТ-отрасли в условиях санкций,"Министр цифрового развития, связи и массовых коммуникаций России Максут Шадаев направил премьер-министру Михаилу Мишустину предложения по поддержке ИТ-отрасли в условиях санкций. Целями предложений указаны удержание в стране разработчиков программного обеспечения и развитие ИТ-компаний. Копия документа есть в распоряжении «Ведомостей», его отправку подтвердили в пресс-службе Минцифры.,В документе содержатся следующие предложения:,- Распространить действующие в России налоговые льготы также на ИТ-компании, которые получают доходы за счет размещения рекламы, оказания дополнительных услуг в своих приложениях и в онлайн-сервисах, а также от реализации, установки, тестирования и сопровождения партнерских отечественных ИТ-продуктов;,- Освободить на три года ИТ-компании от уплаты налога на прибыль и от проверок контрольными органами;,- Освободить от уплаты подоходного налога (НДФЛ) на три года всех сотрудников ИТ-компаний;,- Предоставлять сотрудникам ИТ-компаний льготную ипотеку по ставке 5% годовых на время работы;,- Предоставлять сотрудникам ИТ-компаний отсрочки от призыва на военную службу на все время их работы;,- Упростить иностранцам, привлекаемым на работу в российских ИТ-компаниях, процедуру получения разрешения на работу и вида на жительство;,- Предоставлять ИТ-компаниям гранты на разработку и развитие ИТ-продуктов, снизив требование к обязательному внебюджетному софинансированию проектов до 20%, а в отдельных случаях — до 0%;,- Развивать программы льготного кредитования проектов внедрения отечественных решений со ставкой в 1%;,- Запустить программу льготного кредитования ИТ-компаний, направленную на обеспечение их бесперебойной деятельности;,- Обеспечить ускоренное импортозамещение ПО на объектах критической информационной инфраструктуры за счет целевого бюджетного финансирования через создаваемые отраслевые центры компетенций;,- Обеспечить консолидацию и стимулирование госзаказа, в том числе от государственных компаний, для финансирования новых критически важных разработок с обеспечением возможности их исполнения крупными ИТ-компаниями без проведения конкурсов и аукционов;,- Обеспечить целевое финансирование создания в России «зеркала» репозитория открытого ПО GitHub.,В Минцифры отметили, что предложения были разработаны с учетом мнения представителей ИТ-отрасли. Шадаев попросил Мишустина поддержать предложения и поручить Минцифры, Минфину и другим органам власти начать реализовывать изложенные меры, предусмотрев для этого необходимый объем финансирования. В Минцифры заявили «Ведомостям», что после одобрения правительством предложения будут исполнены «в кратчайшие сроки».,Евросоюз (ЕС), США и ряд других стран ввели санкции против России за военную операцию в Донбассе и на Украине в целом, начатую 24 февраля по решению президента Владимира Путина. Среди прочего ЕС наложил эмбарго на поставку в Россию технологий, которые могут использоваться в сфере обороны и безопасности. Ограничения на экспорт высоких технологий ввели и США.,Статья взята с,.,28.03.2022","хер,dsfds,2,888"
